,TagID,Tag
0,0,data
1,1,c#
2,2,winforms
3,3,type-conversion
4,4,decimal
5,5,opacity
6,6,html
7,7,css
8,8,css3
9,9,internet-explorer-7
10,10,code-generation
11,11,j#
12,12,visualj#
13,13,.net
14,14,datetime
15,15,datediff
16,16,relative-time-span
17,17,javascript
18,18,browser
19,19,timezone
20,20,timezoneoffset
21,21,linq
22,22,web-services
23,23,.net-3.5
24,24,mysql
25,25,database
26,26,binary-data
27,27,data-storage
28,28,performance
29,29,algorithm
30,30,language-agnostic
31,31,unix
32,32,pi
33,33,php
34,34,triggers
35,35,c++
36,36,c
37,37,sockets
38,38,mainframe
39,39,zos
40,40,actionscript-3
41,41,flex
42,42,bytearray
43,43,sql
44,44,sql-server
45,45,datatable
46,46,rdbms
47,47,vb.net
48,48,timer
49,49,inversion-of-control
50,50,structuremap
51,51,alt.net
52,52,plugins
53,53,architecture
54,54,hook
55,55,form-submit
56,56,html-form
57,57,submit-button
58,58,office-2007
59,59,file-type
60,60,ruby
61,61,rdoc
62,62,eclipse
63,63,svn
64,64,aptana
65,65,subclipse
66,66,air
67,67,flat-file
68,68,linux
69,69,winapi
70,70,visual-c++
71,71,tortoisesvn
72,72,branch
73,73,branching-and-merging
74,74,memory-leaks
75,75,com-interop
76,76,windows
77,77,64bit
78,78,ascii
79,79,hex
80,80,asp.net
81,81,sitemap
82,82,java
83,83,xml
84,84,csv
85,85,data-conversion
86,86,oop
87,87,theory
88,88,sql-server-2005
89,89,bcp
90,90,xsd
91,91,tools
92,92,website
93,93,sysadmin
94,94,webmaster
95,95,compression
96,96,decompression
97,97,apache
98,98,logging
99,99,download
100,100,analytics
101,101,versioning
102,102,embed
103,103,media
104,104,version-control
105,105,printing
106,106,youtube
107,107,reverse-engineering
108,108,virtualhost
109,109,pdf
110,110,colors
111,111,color-space
112,112,coding-style
113,113,styles
114,114,convention
115,115,notation
116,116,internationalization
117,117,globalization
118,118,migration
119,119,search
120,120,filesystems
121,121,ext3
122,122,zfs
123,123,stackoverflow
124,124,tags
125,125,t
126,126,hardware
127,127,hdd
128,128,arrays
129,129,cloud
130,130,tag-cloud
131,131,mailto
132,132,git
133,133,github
134,134,dvcs
135,135,sqlite
136,136,forms
137,137,scripting
138,138,compiler-construction
139,139,gtk
140,140,x11
141,141,berkeley-db
142,142,collaboration
143,143,visual-studio
144,144,belongs-on-uservoice
145,145,sorting
146,146,dictionary
147,147,oracle
148,148,reputation
149,149,security
150,150,class
151,151,nested-class
152,152,types
153,153,python
154,154,string
155,155,cross-platform
156,156,ant
157,157,build-process
158,158,phing
159,159,email
160,160,email-spam
161,161,hacking
162,162,game-development
163,163,generics
164,164,warnings
165,165,casting
166,166,type-safety
167,167,lucene
168,168,vb6
169,169,vb6-migration
170,170,iphone
171,171,objective-c
172,172,code-review
173,173,guidelines
174,174,hash
175,175,exploit
176,176,gravatar
177,177,com
178,178,internet-explorer
179,179,windows-mobile
180,180,pocketpc
181,181,windows-services
182,182,scheduled-tasks
183,183,interview-questions
184,184,code-golf
185,185,rosetta-stone
186,186,fizzbuzz
187,187,ruby-on-rails
188,188,http
189,189,openid
190,190,osx
191,191,fonts
192,192,photoshop
193,193,data-binding
194,194,design
195,195,image
196,196,beta
197,197,crash
198,198,untagged
199,199,continuous-integration
200,200,extreme-programming
201,201,authentication
202,202,article
203,203,books
204,204,polls
205,205,unit-testing
206,206,testing
207,207,medium-trust
208,208,integer
209,209,int
210,210,deployment
211,211,release-management
212,212,exchange-server
213,213,webdav
214,214,mapi
215,215,cx-oracle
216,216,random
217,217,compatibility
218,218,windows-nt
219,219,gui
220,220,api
221,221,application
222,222,primes
223,223,lambda
224,224,proc
225,225,meta-question
