,Id,Tag,hash_key
0,1,data,14938764676594239031
1,4,c#,11186365449698795993
2,4,winforms,11879614493023197027
3,4,type-conversion,7338368048071805886
4,4,decimal,12484206348229265949
5,4,opacity,10277516668074747580
6,6,html,8335012096626352005
7,6,css,16698484164878483618
8,6,css3,2172103262228894457
9,6,internet-explorer-7,6767177937581713435
10,8,c#,10160016385319721572
11,8,code-generation,1776786191234959806
12,8,j#,3329023016954319528
13,8,visualj#,8100785103068978369
14,9,c#,17336394884955031404
15,9,.net,6871135052220370756
16,9,datetime,14698212663914013439
17,11,c#,3162135025239554358
18,11,datetime,3948566410369074889
19,11,datediff,16654863367041696094
20,11,relative-time-span,8759040329707755382
21,13,javascript,10946773988150143683
22,13,html,5872776028768714007
23,13,browser,886046218054670648
24,13,timezone,17562079438910562000
25,13,timezoneoffset,3294164612457523992
26,14,.net,1425812910644312793
27,16,c#,11415365548119772976
28,16,linq,11234790039338014916
29,16,web-services,8686625445864181301
30,16,.net-3.5,7603657077090563665
31,17,mysql,9709840892647068859
32,17,database,8253210168341415601
33,17,binary-data,9489451696672451192
34,17,data-storage,3552033837612252648
35,19,performance,16718992813176384070
36,19,algorithm,6414812513830923086
37,19,language-agnostic,790968606878418808
38,19,unix,11599656721443977907
39,19,pi,6762246024979179623
40,23,php,7654121911915611873
41,24,mysql,9079870586034382755
42,24,database,11552508706532125119
43,24,triggers,391951415646829185
44,25,c++,16932301651268797109
45,25,c,14649072877066484219
46,25,sockets,2590989205687729013
47,25,mainframe,16473877852820450052
48,25,zos,6837671836559418054
49,34,actionscript-3,15258154946722102371
50,34,flex,12476936502356973297
51,34,bytearray,4829340552590916462
52,36,sql,4809593091000142551
53,36,sql-server,741698503415367343
54,36,datatable,17594094762965461922
55,36,rdbms,17962282739004470259
56,38,c#,17730360961035841014
57,38,vb.net,9953413513949770020
58,38,timer,5523295355345654443
59,39,c#,9498566533910754991
60,39,.net,9282323924391389239
61,39,vb.net,7518977657684112596
62,39,timer,17278892369705590544
63,40,c#,8186645087271034309
64,40,inversion-of-control,6611649423389810616
65,40,structuremap,6552375784786445968
66,40,alt.net,14315664721246157760
67,42,php,58213887964407106
68,42,plugins,13678146224618944411
69,42,architecture,11082905182203042366
70,42,hook,10194884083842434141
71,48,html,9054266555765441397
72,48,form-submit,2915344681890179570
73,48,html-form,11647978290878130295
74,48,submit-button,3041996668899542044
75,59,c#,14336075129846925339
76,59,linq,1595117310158834983
77,59,.net-3.5,3178496238344481034
78,61,office-2007,15178325125950166956
79,61,file-type,3622111426702357629
80,66,linq,9379182476566733008
81,66,.net-3.5,8322706943352933190
82,72,ruby,15543486656058785373
83,72,rdoc,11756379380579691800
84,79,eclipse,12876073980896286456
85,79,svn,6946846183269796290
86,79,aptana,10986920165145900475
87,79,subclipse,8656101060201459099
88,80,flex,3225330203057533345
89,80,actionscript-3,14072361538883733337
90,80,air,3087983077115834110
91,85,php,9545251974424896488
92,85,sql,7094346591587859667
93,85,database,12547666920354492470
94,85,flat-file,14022874828206631408
95,88,linux,16542001697758489391
96,88,winapi,7691829274140015761
97,88,visual-c++,16934828358892818753
98,88,unix,18218313235751507516
99,88,timer,15415995749019679069
100,90,svn,8923188659519526189
101,90,tortoisesvn,18284850625904410169
102,90,branch,15922644382092323047
103,90,branching-and-merging,10487084017538948210
104,104,.net,13206065840636164324
105,104,performance,11707162845245212707
106,104,memory-leaks,17215102244841972041
107,104,com-interop,16284219487688545267
108,108,windows,9722725231382842563
109,108,svn,15810920530560011044
110,108,64bit,14559819813448430870
111,109,c#,14412606566824406497
112,109,sql,6645822204786599848
113,109,vb.net,5317864136460312360
114,109,ascii,7376856935743751896
115,109,hex,17102420667335278472
116,120,sql,10887853114447482534
117,120,asp.net,6464647028046664529
118,120,sitemap,13976618613151339357
119,123,java,3399152204327653071
120,123,xml,14295031478309568868
121,123,csv,16172989794195664926
122,123,data-conversion,6475831383388325300
123,126,java,13540703775570790137
124,126,php,16678001230878432710
125,126,oop,504725903987372339
126,126,theory,17932058554247439395
127,129,mysql,11825057660138933962
128,129,sql-server,14156311906557613721
129,129,csv,3364557823094585338
130,129,sql-server-2005,4710529744830012602
131,129,bcp,2898014394906190835
132,134,.net,4772168195709424903
133,134,database,15270687210598257513
134,134,xsd,15159737336254909841
135,136,tools,10497390690452123706
136,136,website,4662379194523077645
137,136,sysadmin,15786374654226174659
138,136,webmaster,664262785399892777
139,145,c#,9703460502918129650
140,145,.net,13100730793364658712
141,145,compression,128127044517369771
142,145,decompression,11407024036003384746
143,146,php,14959045352271718188
144,146,apache,13638895108399290069
145,146,logging,18171694089697853691
146,146,download,2203966394806892866
147,146,analytics,9060228716589574868
148,163,.net,15045923907188392971
149,163,asp.net,13913802889470190965
150,163,svn,16738909447242233911
151,163,versioning,16475993162938081704
152,164,windows,5650188837925987628
153,164,embed,14370319831258316949
154,164,media,2294701961404821223
155,173,sql-server,10102377994959875704
156,173,database,6046711104127236449
157,173,svn,17659440984265123936
158,173,version-control,13226002814502263824
159,174,c#,542271614717180489
160,174,html,10026964486273621494
161,174,web-services,12887727619602067137
162,174,printing,3529534065812037012
163,175,youtube,16587763828475355012
164,175,reverse-engineering,1556216894726521818
165,176,linux,10110963940999048026
166,176,apache,3675441821003931391
167,176,virtualhost,18023756621796985456
168,177,.net,16470724852948410889
169,177,pdf,1445231105447287873
170,180,algorithm,1370587233902467135
171,180,language-agnostic,16658022684246361252
172,180,colors,12030931292449147198
173,180,color-space,15382831476782081362
174,181,language-agnostic,16507760683631696029
175,181,coding-style,18226917541227026535
176,181,styles,1504600734625916702
177,181,convention,10082896689418636645
178,181,notation,10041232110661413178
179,192,c#,5380805645934534883
180,192,.net,2326601079992699223
181,192,asp.net,6660241631212738681
182,192,internationalization,10244103127510900511
183,192,globalization,7334605352531706540
184,194,sql-server,320879421642749182
185,194,migration,8102963939002421904
186,196,search,11524132918699766171
187,203,linux,1668436925214768298
188,203,filesystems,10524796532945888989
189,203,ext3,13168317326236733853
190,203,zfs,2285812213385983973
191,208,stackoverflow,14194414315066212608
192,208,tags,15702939522654436149
193,217,t,8049148161244831222
194,225,hardware,8908340879873625749
195,225,hdd,17485010095485681231
196,227,php,17012656194249445908
197,227,arrays,2506207156397853373
198,227,cloud,2476989132831018930
199,227,tag-cloud,13127048402752279529
200,231,windows,15986264752605079765
201,231,mailto,743643268992389242
202,234,mysql,537341947153075191
203,234,sql-server,10197938776787222529
204,234,sql-server-2005,1306717033360601344
205,237,git,17131240735647886800
206,237,version-control,15882015673687318934
207,237,github,9790449839048637483
208,237,dvcs,10548514282952084257
209,246,.net,18069303476835138152
210,246,database,11985165482058302922
211,246,sqlite,13673795347562318417
212,249,php,16069931275772772728
213,249,forms,2737828674288472054
214,260,c#,11305625310975144169
